
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 1, Classification: 3, Probability: 1.000000
Frame Number 2, Classification: 3, Probability: 1.000000
Frame Number 3, Classification: 3, Probability: 1.000000
Frame Number 4, Classification: 3, Probability: 1.000000
Frame Number 5, Classification: 3, Probability: 1.000000
Frame Number 6, Classification: 3, Probability: 1.000000
Frame Number 7, Classification: 3, Probability: 1.000000
Frame Number 8, Classification: 3, Probability: 1.000000
Frame Number 9, Classification: 3, Probability: 1.000000
Frame Number 10, Classification: 3, Probability: 1.000000
Frame Number 11, Classification: 3, Probability: 1.000000
Frame Number 12, Classification: 3, Probability: 1.000000
Frame Number 13, Classification: 3, Probability: 1.000000
Frame Number 14, Classification: 3, Probability: 1.000000
Frame Number 15, Classification: 3, Probability: 1.000000
Frame Number 16, Classification: 3, Probability: 1.000000
Frame Number 17, Classification: 3, Probability: 1.000000
Frame Number 18, Classification: 3, Probability: 1.000000
Frame Number 19, Classification: 3, Probability: 1.000000
Frame Number 20, Classification: 3, Probability: 1.000000
Frame Number 21, Classification: 3, Probability: 1.000000
Frame Number 22, Classification: 3, Probability: 1.000000
Frame Number 23, Classification: 3, Probability: 1.000000
Frame Number 24, Classification: 3, Probability: 1.000000
Frame Number 25, Classification: 3, Probability: 1.000000
Frame Number 26, Classification: 3, Probability: 1.000000
Frame Number 27, Classification: 3, Probability: 1.000000
Frame Number 28, Classification: 3, Probability: 1.000000
Frame Number 29, Classification: 3, Probability: 1.000000
Frame Number 30, Classification: 3, Probability: 1.000000
Frame Number 31, Classification: 3, Probability: 1.000000
Frame Number 32, Classification: 3, Probability: 1.000000
Frame Number 33, Classification: 3, Probability: 1.000000
Frame Number 34, Classification: 3, Probability: 1.000000
Frame Number 35, Classification: 3, Probability: 1.000000
Frame Number 36, Classification: 3, Probability: 1.000000
Frame Number 37, Classification: 3, Probability: 1.000000
Frame Number 38, Classification: 3, Probability: 1.000000
Frame Number 39, Classification: 3, Probability: 1.000000
Frame Number 40, Classification: 3, Probability: 1.000000
Frame Number 41, Classification: 3, Probability: 1.000000
Frame Number 42, Classification: 3, Probability: 1.000000
Frame Number 43, Classification: 3, Probability: 1.000000
Frame Number 44, Classification: 3, Probability: 1.000000
Frame Number 45, Classification: 3, Probability: 1.000000
Frame Number 46, Classification: 3, Probability: 1.000000
Frame Number 47, Classification: 3, Probability: 1.000000
Frame Number 48, Classification: 3, Probability: 1.000000
Frame Number 49, Classification: 3, Probability: 1.000000
Frame Number 50, Classification: 3, Probability: 1.000000
Frame Number 51, Classification: 3, Probability: 1.000000
Frame Number 52, Classification: 3, Probability: 1.000000
Frame Number 53, Classification: 3, Probability: 1.000000
Frame Number 54, Classification: 3, Probability: 1.000000
Frame Number 55, Classification: 3, Probability: 1.000000
Frame Number 56, Classification: 3, Probability: 1.000000
Frame Number 57, Classification: 3, Probability: 1.000000
Frame Number 58, Classification: 3, Probability: 1.000000
Frame Number 59, Classification: 3, Probability: 1.000000
Frame Number 60, Classification: 3, Probability: 1.000000
Frame Number 61, Classification: 3, Probability: 1.000000
Frame Number 62, Classification: 3, Probability: 1.000000
Frame Number 63, Classification: 3, Probability: 1.000000
Frame Number 64, Classification: 3, Probability: 1.000000
Frame Number 65, Classification: 3, Probability: 1.000000
Frame Number 66, Classification: 3, Probability: 1.000000
Frame Number 67, Classification: 3, Probability: 1.000000
Frame Number 68, Classification: 3, Probability: 1.000000
Frame Number 69, Classification: 3, Probability: 1.000000
Frame Number 70, Classification: 3, Probability: 1.000000
Frame Number 71, Classification: 3, Probability: 1.000000
Frame Number 72, Classification: 3, Probability: 1.000000
Frame Number 73, Classification: 3, Probability: 1.000000
Frame Number 74, Classification: 3, Probability: 1.000000
Frame Number 75, Classification: 3, Probability: 1.000000
Frame Number 76, Classification: 3, Probability: 1.000000
Frame Number 77, Classification: 3, Probability: 1.000000
Frame Number 78, Classification: 3, Probability: 1.000000
Frame Number 79, Classification: 3, Probability: 1.000000
Frame Number 80, Classification: 3, Probability: 1.000000
Frame Number 81, Classification: 3, Probability: 1.000000
Frame Number 82, Classification: 3, Probability: 1.000000
Frame Number 83, Classification: 3, Probability: 1.000000
Frame Number 84, Classification: 3, Probability: 1.000000
Frame Number 85, Classification: 3, Probability: 1.000000
Frame Number 86, Classification: 3, Probability: 1.000000
Frame Number 87, Classification: 3, Probability: 1.000000
Frame Number 88, Classification: 3, Probability: 1.000000
Frame Number 89, Classification: 3, Probability: 1.000000
Frame Number 90, Classification: 3, Probability: 1.000000
Frame Number 91, Classification: 3, Probability: 1.000000
Frame Number 92, Classification: 3, Probability: 1.000000
Frame Number 93, Classification: 3, Probability: 1.000000
Frame Number 94, Classification: 3, Probability: 1.000000
Frame Number 95, Classification: 3, Probability: 1.000000
Frame Number 96, Classification: 3, Probability: 1.000000
Frame Number 97, Classification: 3, Probability: 1.000000
Frame Number 98, Classification: 3, Probability: 1.000000
Frame Number 99, Classification: 3, Probability: 1.000000
Frame Number 100, Classification: 3, Probability: 1.000000
Frame Number 101, Classification: 3, Probability: 1.000000
Frame Number 102, Classification: 3, Probability: 1.000000
Frame Number 103, Classification: 3, Probability: 1.000000
Frame Number 104, Classification: 3, Probability: 1.000000
Frame Number 105, Classification: 3, Probability: 1.000000
Frame Number 106, Classification: 3, Probability: 1.000000
Frame Number 107, Classification: 3, Probability: 1.000000
Frame Number 108, Classification: 3, Probability: 1.000000
Frame Number 109, Classification: 3, Probability: 1.000000
Frame Number 110, Classification: 3, Probability: 1.000000
Frame Number 111, Classification: 3, Probability: 1.000000
Frame Number 112, Classification: 3, Probability: 1.000000
Frame Number 113, Classification: 3, Probability: 1.000000
Frame Number 114, Classification: 3, Probability: 1.000000
Frame Number 115, Classification: 3, Probability: 1.000000
Frame Number 116, Classification: 3, Probability: 1.000000
Frame Number 117, Classification: 3, Probability: 1.000000
Frame Number 118, Classification: 3, Probability: 1.000000
Frame Number 119, Classification: 3, Probability: 1.000000
Frame Number 120, Classification: 3, Probability: 1.000000
Frame Number 121, Classification: 3, Probability: 1.000000
Frame Number 122, Classification: 3, Probability: 1.000000
Frame Number 123, Classification: 3, Probability: 1.000000
Frame Number 124, Classification: 3, Probability: 1.000000
Frame Number 125, Classification: 3, Probability: 1.000000
Frame Number 126, Classification: 3, Probability: 1.000000
Frame Number 127, Classification: 3, Probability: 1.000000
Frame Number 128, Classification: 3, Probability: 1.000000
Frame Number 129, Classification: 3, Probability: 1.000000
Frame Number 130, Classification: 3, Probability: 1.000000
